Processed At,Invoice Date,Invoice Month,Invoice Number,Document Type,Seller Name,Seller Tax ID,Expense Category,Item #,Line Type,Description,Quantity,Unit Price,Amount,Subtotal,VAT 7%,Grand Total,Image URL,Confidence,Token Used,UID,User
2025-01-23 10:17:48,2025-01-23,202501,INV-2501-0001,Receipt,ปั๊ม ปตท.,0105530020022,Travel,1,product,น้ำมันดีเซล,5,278,1390,1390,97.3,1487.3,https://drive.google.com/file/d/sample1,0.96,837,U1234567890,Bobby
2025-01-23 09:05:48,2025-01-23,202501,INV-2501-0002,Tax Invoice,แมคโดนัลด์,0105537045678,Food,1,product,เบอร์เกอร์,3,477,1431,1431,100.17,1531.17,https://drive.google.com/file/d/sample2,0.91,931,U9876543210,Alice
2025-01-23 15:26:41,2025-01-23,202501,INV-2501-0003,Receipt,สตาร์บัคส์,0105542098765,Food,1,product,ขนมปัง,2,371,742,742,51.94,793.94,https://drive.google.com/file/d/sample3,0.93,510,U1234567890,Bobby
2025-01-16 13:37:52,2025-01-16,202501,INV-2501-0004,Tax Invoice,ไมโครซอฟท์,0105548012345,Office,1,product,เก้าอี้สำนักงาน,2,378,756,756,52.92,808.92,https://drive.google.com/file/d/sample4,0.88,633,U1234567890,Bobby
2025-01-30 12:34:14,2025-01-30,202501,INV-2501-0005,Tax Invoice,โลตัส,0105535021234,Office,1,product,กระดาษ A4,5,197,985,985,68.95,1053.95,https://drive.google.com/file/d/sample5,0.97,334,U5555555555,Charlie
2025-01-03 16:09:14,2025-01-03,202501,INV-2501-0006,Tax Invoice,ช้อปปี้,0105559034567,Office,1,product,คีย์บอร์ด,3,423,1269,1269,88.83,1357.83,https://drive.google.com/file/d/sample6,0.86,239,U5555555555,Charlie
2025-01-06 18:22:01,2025-01-06,202501,INV-2501-0007,Tax Invoice,การไฟฟ้านครหลวง,0994000165456,Utilities,1,product,ค่าน้ำ,1,506,506,506,35.42,541.42,https://drive.google.com/file/d/sample7,0.98,708,U5555555555,Charlie
2025-01-08 10:27:35,2025-01-08,202501,INV-2501-0008,Tax Invoice,โลตัส,0105535021234,Office,1,product,เก้าอี้สำนักงาน,1,103,103,103,7.21,110.21,https://drive.google.com/file/d/sample8,0.86,299,U9876543210,Alice
2025-01-11 14:05:41,2025-01-11,202501,INV-2501-0009,Receipt,ทรูมูฟ,0105539026543,Utilities,1,product,ค่าโทรศัพท์,4,307,1228,1228,85.96,1313.96,https://drive.google.com/file/d/sample9,0.99,961,U5555555555,Charlie
2025-01-15 15:19:39,2025-01-15,202501,INV-2501-0010,Receipt,อิเกีย,0105548023456,Office,1,product,เก้าอี้สำนักงาน,3,444,1332,1332,93.24,1425.24,https://drive.google.com/file/d/sample10,0.90,357,U5555555555,Charlie
