Processed At,Invoice Date,Invoice Number,Document Type,Seller Name,Seller Tax ID,Expense Category,Item #,Line Type,Description,Quantity,Unit Price,Amount,Subtotal,VAT 7%,Grand Total,Image URL,Confidence,UID,User
2025-01-02 09:15:23,2025-01-02,INV-2501-0001,Tax Invoice,7-Eleven สาขาสีลม,0105556170046,Food,1,product,กาแฟสด,2,35,70,70,4.90,74.90,https://drive.google.com/file/d/sample1,0.95,U1234567890,Bobby
2025-01-02 10:30:45,2025-01-02,INV-2501-0002,Receipt,แกร็บฟู้ด,0105558123456,Food,1,product,ข้าวกระเพราไก่ไข่ดาว,1,65,65,65,4.55,69.55,https://drive.google.com/file/d/sample2,0.92,U1234567890,Bobby
2025-01-02 14:22:11,2025-01-02,INV-2501-0003,Tax Invoice,ปั๊ม ปตท. สาขาพระราม 4,0105530020022,Travel,1,product,น้ำมันเบนซิน 95,30,36.19,1085.70,1085.70,76.00,1161.70,https://drive.google.com/file/d/sample3,0.98,U9876543210,Alice
2025-01-03 08:45:00,2025-01-03,INV-2501-0004,Tax Invoice,โลตัส สาขาพระราม 2,0105535021234,Office,1,product,กระดาษ A4,5,120,600,950,66.50,1016.50,https://drive.google.com/file/d/sample4,0.94,U1234567890,Bobby
2025-01-03 08:45:00,2025-01-03,INV-2501-0004,Tax Invoice,โลตัส สาขาพระราม 2,0105535021234,Office,2,product,ปากกาลูกลื่น,10,15,150,950,66.50,1016.50,https://drive.google.com/file/d/sample4,0.94,U1234567890,Bobby
2025-01-03 08:45:00,2025-01-03,INV-2501-0004,Tax Invoice,โลตัส สาขาพระราม 2,0105535021234,Office,3,product,แฟ้มเอกสาร,4,50,200,950,66.50,1016.50,https://drive.google.com/file/d/sample4,0.94,U1234567890,Bobby
2025-01-03 11:20:33,2025-01-03,INV-2501-0005,Receipt,ร้านก๋วยเตี๋ยวเรือ,1234567890123,Food,1,product,ก๋วยเตี๋ยวเรือ,2,50,100,100,7.00,107.00,https://drive.google.com/file/d/sample5,0.88,U9876543210,Alice
2025-01-03 15:45:22,2025-01-03,INV-2501-0006,Tax Invoice,แอร์เอเชีย,0105546115112,Travel,1,service,ตั๋วเครื่องบิน กทม.-เชียงใหม่,1,1590,1590,1590,111.30,1701.30,https://drive.google.com/file/d/sample6,0.97,U1234567890,Bobby
2025-01-04 09:00:15,2025-01-04,INV-2501-0007,Tax Invoice,ทรูมูฟ,0105539026543,Utilities,1,service,ค่าโทรศัพท์รายเดือน,1,599,599,599,41.93,640.93,https://drive.google.com/file/d/sample7,0.96,U1234567890,Bobby
2025-01-04 10:30:00,2025-01-04,INV-2501-0008,Tax Invoice,ไมโครซอฟท์ ประเทศไทย,0105548012345,Office,1,service,Microsoft 365 Business,1,4500,4500,4500,315.00,4815.00,https://drive.google.com/file/d/sample8,0.99,U9876543210,Alice
2025-01-04 14:15:45,2025-01-04,INV-2501-0009,Receipt,สตาร์บัคส์ สาขาสยาม,0105542098765,Food,1,product,ลาเต้ร้อน,1,135,135,175,12.25,187.25,https://drive.google.com/file/d/sample9,0.91,U1234567890,Bobby
2025-01-04 14:15:45,2025-01-04,INV-2501-0009,Receipt,สตาร์บัคส์ สาขาสยาม,0105542098765,Food,2,product,ครัวซองต์,1,40,40,175,12.25,187.25,https://drive.google.com/file/d/sample9,0.91,U1234567890,Bobby
2025-01-05 08:30:22,2025-01-05,INV-2501-0010,Tax Invoice,บิ๊กซี สาขาเอกมัย,0105538054321,Food,1,product,นม UHT,24,15,360,560,39.20,599.20,https://drive.google.com/file/d/sample10,0.93,U9876543210,Alice
2025-01-05 08:30:22,2025-01-05,INV-2501-0010,Tax Invoice,บิ๊กซี สาขาเอกมัย,0105538054321,Food,2,product,ข้าวสาร 5 กก.,1,200,200,560,39.20,599.20,https://drive.google.com/file/d/sample10,0.93,U9876543210,Alice
2025-01-05 12:45:11,2025-01-05,INV-2501-0011,Receipt,พิซซ่า ฮัท,0105535067890,Food,1,product,พิซซ่าซูพรีม ถาดใหญ่,1,429,429,429,30.03,459.03,https://drive.google.com/file/d/sample11,0.90,U1234567890,Bobby
2025-01-06 09:20:00,2025-01-06,INV-2501-0012,Tax Invoice,ออฟฟิศเมท,0105547098765,Office,1,product,หมึกพิมพ์ HP,2,890,1780,2230,156.10,2386.10,https://drive.google.com/file/d/sample12,0.95,U1234567890,Bobby
2025-01-06 09:20:00,2025-01-06,INV-2501-0012,Tax Invoice,ออฟฟิศเมท,0105547098765,Office,2,product,กระดาษ A4 80 แกรม,3,150,450,2230,156.10,2386.10,https://drive.google.com/file/d/sample12,0.95,U1234567890,Bobby
2025-01-06 13:00:33,2025-01-06,INV-2501-0013,Receipt,แมคโดนัลด์,0105537045678,Food,1,product,ชุดบิ๊กแมค,1,169,169,169,11.83,180.83,https://drive.google.com/file/d/sample13,0.89,U9876543210,Alice
2025-01-06 16:30:45,2025-01-06,INV-2501-0014,Tax Invoice,การไฟฟ้านครหลวง,0994000165456,Utilities,1,service,ค่าไฟฟ้าเดือน ธ.ค.,1,2850,2850,2850,199.50,3049.50,https://drive.google.com/file/d/sample14,0.97,U1234567890,Bobby
2025-01-07 08:15:22,2025-01-07,INV-2501-0015,Tax Invoice,เชลล์ ปั๊มน้ำมัน,0105533012345,Travel,1,product,น้ำมันดีเซล,40,32.44,1297.60,1297.60,90.83,1388.43,https://drive.google.com/file/d/sample15,0.96,U9876543210,Alice
2025-01-07 11:45:00,2025-01-07,INV-2501-0016,Receipt,KFC สาขาเซ็นทรัล,0105536078901,Food,1,product,ชุดไก่ทอด 9 ชิ้น,1,299,299,299,20.93,319.93,https://drive.google.com/file/d/sample16,0.92,U1234567890,Bobby
2025-01-07 15:20:11,2025-01-07,INV-2501-0017,Tax Invoice,ไปรษณีย์ไทย,0994000157234,Office,1,service,ค่าส่ง EMS,5,50,250,250,17.50,267.50,https://drive.google.com/file/d/sample17,0.94,U1234567890,Bobby
2025-01-08 09:00:00,2025-01-08,INV-2501-0018,Tax Invoice,AIS,0105534123789,Utilities,1,service,ค่าอินเทอร์เน็ต Fiber,1,799,799,799,55.93,854.93,https://drive.google.com/file/d/sample18,0.97,U9876543210,Alice
2025-01-08 12:30:45,2025-01-08,INV-2501-0019,Receipt,ซับเวย์,0105544056789,Food,1,product,แซนวิช ฟุตลอง,1,239,239,239,16.73,255.73,https://drive.google.com/file/d/sample19,0.90,U1234567890,Bobby
2025-01-08 16:45:22,2025-01-08,INV-2501-0020,Tax Invoice,การประปานครหลวง,0994000145678,Utilities,1,service,ค่าน้ำประปา ธ.ค.,1,450,450,450,31.50,481.50,https://drive.google.com/file/d/sample20,0.95,U1234567890,Bobby
